count;year;name
66;2006;Capucine
11;2006;Cécilia
13;2006;Charline
13;2006;Cheick
5;2006;Demba
9;2006;Denis
7;2006;Dora
42;2006;Eden
34;2006;Fanny
6;2006;Fantine
64;2006;Guillaume
8;2006;Idrissa
13;2006;Ilana
8;2006;Iliana
17;2006;Jacques
5;2006;Jenny
9;2006;Joyce
5;2006;Junior
18;2006;Karim
6;2006;Kenny
42;2006;Kylian
7;2006;Lauriane
5;2006;Leila
7;2006;Léopoldine
28;2006;Lili
32;2006;Lily
247;2006;Louis
26;2006;Lucien
60;2006;Luna
155;2006;Manon
10;2006;Mariama
5;2006;Marlon
7;2006;Matisse
10;2006;Perrine
140;2006;Rayan
5;2006;Réphaël
232;2006;Sarah
5;2006;Stéphanie
8;2006;Thelma
35;2006;Théophile
11;2006;Thibaud
20;2006;Tiphaine
9;2006;Warren
5;2006;Yoni
5;2006;Yves
8;2007;Abdelkader
28;2007;Abel
11;2007;Aline
30;2007;Anatole
5;2007;Antony
7;2007;Aristide
10;2007;Assa
22;2007;Auguste
6;2007;Aylan
18;2007;Bianca
11;2007;Brune
11;2007;Cameron
7;2007;Carmen
7;2007;Chris
9;2007;Clarence
8;2007;Demba
5;2007;Deniz
43;2007;Edouard
29;2007;Ella
5;2007;Émeline
5;2007;Emmy
6;2007;Énora
9;2007;Éric
8;2007;Gaëtan
5;2007;Grâce
5;2007;Grégory
21;2007;Hannah
14;2007;Ilhan
28;2007;Ilian
6;2007;Isidore
14;2007;Joachim
6;2007;Joey
6;2007;Kelvin
19;2007;Lana
5;2007;Lauryn
38;2007;Lenny
17;2007;Lilian
12;2007;Linda
6;2007;Lohan
18;2007;Louison
214;2007;Lucas
8;2007;Maeva
6;2007;Maëva
11;2007;Malik
15;2007;Mickaël
10;2007;Miguel
5;2007;Néo
8;2007;Noha
5;2007;Ondine
7;2007;Paulin
6;2007;Ranya
14;2007;Richard
7;2007;Riyad
18;2007;Sabrina
165;2007;Sacha
5;2007;Safia
24;2007;Sami
9;2007;Serena
